2026-05-28 10:30:10 | INFO | ExecutorAgent | Initializing TestEngine
2026-05-28 10:30:10 | INFO | ExecutorAgent | Selecting test: gpio / gpio_output_toggle_test
2026-05-28 10:30:10 | INFO | ExecutorAgent | Executing test
2026-05-28 10:30:10 | INFO | TestEngine | Pre-test phase
2026-05-28 10:30:11 | INFO | SSHInterface | [CONNECTED] 192.168.7.2
2026-05-28 10:30:11 | INFO | BeaglePlatform | Detected OS: linux
2026-05-28 10:30:11 | INFO | GpioOutputToggleTest | Executing pre-test for GpioOutputToggleTest
2026-05-28 10:30:11 | INFO | GpioOutputToggleTest | Running GPIO Output Toggle Test
2026-05-28 10:30:11 | INFO | GpioOutputToggleTest | GPIO Pin :200
2026-05-28 10:30:12 | INFO | GpioOutputToggleTest | GpioOutputToggleTest: FAIL
2026-05-28 10:30:12 | INFO | SSHInterface | [DISCONNECTED] 192.168.7.2
2026-05-28 10:30:12 | INFO | ExecutorAgent | ==================================================
2026-05-28 10:30:12 | INFO | ExecutorAgent | END OF TEST: gpio_output_toggle_test
2026-05-28 10:30:12 | INFO | ExecutorAgent | ==================================================
